Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
[SINCRONICO] Sesión 1 · Introducción a la Ingeniería · SB141B,09/03/2026,14:30,09/03/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 1 de 16 · Virtual sincrónica | Tema: Presentación del curso y diagnóstico inicial | Material docente: Clase 1 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 2 · Introducción a la Ingeniería · SB141B,09/10/2026,14:30,09/10/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 2 de 16 · Virtual sincrónica | Tema: Historia y evolución de la Ingeniería | Material docente: Clase 2 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 3 · Introducción a la Ingeniería · SB141B,09/17/2026,14:30,09/17/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 3 de 16 · Virtual sincrónica | Tema: Fundamentos básicos de la Ingeniería de Sistemas | Material docente: Clase 3 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 4 · Introducción a la Ingeniería · SB141B,09/24/2026,14:30,09/24/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 4 de 16 · Virtual sincrónica | Tema: Principios éticos en la Ingeniería | Material docente: Clase 4 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 5 · Introducción a la Ingeniería · SB141B,10/01/2026,14:30,10/01/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 5 de 16 · Virtual sincrónica | Tema: El rol del ingeniero en el contexto ambiental | Material docente: Clase 5 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 6 · Introducción a la Ingeniería · SB141B,10/08/2026,14:30,10/08/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 6 de 16 · Virtual sincrónica | Tema: Análisis de problemas tecnológicos del entorno | Material docente: Clase 6 | Cierra el Corte 1 (30%): Análisis de problemas tecnológicos del entorno (primer corte evaluativo). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 7 · Introducción a la Ingeniería · SB141B,10/15/2026,14:30,10/15/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 7 de 16 · Virtual sincrónica | Tema: Ciclo de vida de los proyectos de ingeniería | Material docente: Clase 7 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 8 · Introducción a la Ingeniería · SB141B,10/22/2026,14:30,10/22/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 8 de 16 · Virtual sincrónica | Tema: Taller de aplicación del ciclo de vida | Material docente: Clase 8 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 9 · Introducción a la Ingeniería · SB141B,10/29/2026,14:30,10/29/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 9 de 16 · Virtual sincrónica | Tema: Estrategias de innovación en Ingeniería | Material docente: Clase 9 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 10 · Introducción a la Ingeniería · SB141B,11/05/2026,14:30,11/05/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 10 de 16 · Virtual sincrónica | Tema: Herramientas digitales aplicadas a la Ingeniería | Material docente: Clase 10 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 11 · Introducción a la Ingeniería · SB141B,11/12/2026,14:30,11/12/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 11 de 16 · Virtual sincrónica | Tema: Taller de prototipado inicial con IA | Material docente: Clase 11 | Cierra el Corte 2 (30%): Taller de prototipado inicial con IA (segundo corte evaluativo). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 12 · Introducción a la Ingeniería · SB141B,11/19/2026,14:30,11/19/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 12 de 16 · Virtual sincrónica | Tema: Presentación de avances de proyectos | Material docente: Clase 12 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 13 · Introducción a la Ingeniería · SB141B,11/26/2026,14:30,11/26/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141B | Sesión 13 de 16 · Virtual sincrónica | Tema: Evaluación de impacto social y ambiental | Material docente: Clase 13 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
