Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 1,08/27/2026,18:00,08/27/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 1 de 13 · Virtual sincrónica | Tema: Presentación del curso · Conceptos iniciales | Material docente: Clase 1 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 2,09/03/2026,18:00,09/03/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 2 de 13 · Virtual sincrónica | Tema: Ciclos de vida del software | Material docente: Clase 2 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 3,09/10/2026,18:00,09/10/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 3 de 13 · Virtual sincrónica | Tema: Metodologías tradicionales | Material docente: Clase 3 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 4,09/17/2026,18:00,09/17/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 4 de 13 · Virtual sincrónica | Tema: Metodologías ágiles | Material docente: Clase 4 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 5 · Parcial 1,09/24/2026,18:00,09/24/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 5 de 13 · Virtual sincrónica | Tema: PARCIAL 1 (solo evaluación) | Material docente: Clase 5 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 6,10/01/2026,18:00,10/01/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 6 de 13 · Virtual sincrónica | Tema: Requerimientos de software | Material docente: Clase 6 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 7,10/08/2026,18:00,10/08/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 7 de 13 · Virtual sincrónica | Tema: Historias de usuario | Material docente: Clase 7 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 8,10/15/2026,18:00,10/15/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 8 de 13 · Virtual sincrónica | Tema: Introducción a UML + Casos de uso | Material docente: Clase 8 + Clase 9 (sesión doble) | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 9 · Parcial 2,10/22/2026,18:00,10/22/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 9 de 13 · Virtual sincrónica | Tema: PARCIAL 2 (solo evaluación) | Material docente: Clase 10 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 10,10/29/2026,18:00,10/29/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 10 de 13 · Virtual sincrónica | Tema: Avance proyecto integrador + Diagramas UML avanzados | Material docente: Clase 11 + Clase 12 (sesión doble) | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 11,11/05/2026,18:00,11/05/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 11 de 13 · Virtual sincrónica | Tema: Diseño de interfaces | Material docente: Clase 13 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 12,11/12/2026,18:00,11/12/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 12 de 13 · Virtual sincrónica | Tema: Preparación de la sustentación y cierre | Material docente: Clase 14 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 341C - Seminario de Sistemas - Sesión 13 · Parcial 3,11/19/2026,18:00,11/19/2026,20:00,False,Seminario de Sistemas (FI303301) · grupo 341C | Sesión 13 de 13 · Virtual sincrónica | Tema: PARCIAL 3 (solo evaluación) | Material docente: Clase 15 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
