Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
[SINCRONICO] Sesión 1 · Programación II,08/26/2026,18:00,08/26/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 1 de 13 · Virtual sincrónica | Tema: Presentación del curso · Introducción a POO (+ diagnóstico) | Material docente: Clase 1 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 2 · Programación II,09/02/2026,18:00,09/02/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 2 de 13 · Virtual sincrónica | Tema: Colecciones dinámicas ArrayList | Material docente: Clase 2 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 3 · Programación II,09/09/2026,18:00,09/09/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 3 de 13 · Virtual sincrónica | Tema: Pilas y colas | Material docente: Clase 3 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 4 · Programación II,09/16/2026,18:00,09/16/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 4 de 13 · Virtual sincrónica | Tema: Mapas y conjuntos · Interfaces gráficas GUI | Material docente: Clase 4 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Parcial 1 · Programación II,09/23/2026,18:00,09/23/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 5 de 13 · Virtual sincrónica | Tema: PARCIAL 1 (solo evaluación) | Material docente: Clase 5 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 6 · Programación II,09/30/2026,18:00,09/30/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 6 de 13 · Virtual sincrónica | Tema: Eventos y controladores (ActionListener) | Material docente: Clase 6 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 7 · Programación II,10/07/2026,18:00,10/07/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 7 de 13 · Virtual sincrónica | Tema: Patrones de diseño (Singleton y Factory) | Material docente: Clase 7 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 8 · Programación II,10/14/2026,18:00,10/14/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 8 de 13 · Virtual sincrónica | Tema: Documentación y QA (Javadoc y pruebas) + Refactorización con IA y persistencia de archivos | Material docente: Clase 8 + Clase 9 (sesión doble) | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Parcial 2 · Programación II,10/21/2026,18:00,10/21/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 9 de 13 · Virtual sincrónica | Tema: PARCIAL 2 (solo evaluación) | Material docente: Clase 10 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 10 · Programación II,10/28/2026,18:00,10/28/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 10 de 13 · Virtual sincrónica | Tema: Revisión de código cruzada + Integración de módulos | Material docente: Clase 11 + Clase 12 (sesión doble) | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 11 · Programación II,11/04/2026,18:00,11/04/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 11 de 13 · Virtual sincrónica | Tema: Control de excepciones | Material docente: Clase 13 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 12 · Programación II,11/11/2026,18:00,11/11/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 12 de 13 · Virtual sincrónica | Tema: Preparación presentación final | Material docente: Clase 14 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Parcial 3 · Programación II,11/18/2026,18:00,11/18/2026,20:00,False,Programación II (FI303204) · grupo 341C | Sesión 13 de 13 · Virtual sincrónica | Tema: PARCIAL 3 (solo evaluación) | Material docente: Clase 15 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
